,NrMovimento,Budget/cons,CodiceMP,NrArticolo,NrDocumento,QuantityMPImpiegata,ImportoCostoTOTALE
187,35495,BUDGET,ART0001868,ART0000748,ODP17-15078,50.0,1311.31
188,35496,BUDGET,ART0001756,ART0000748,ODP17-15078,50.0,1099.54
189,35497,BUDGET,ART0005432,ART0000748,ODP17-15078,50.0,192.5
190,35498,BUDGET,ART0005433,ART0000748,ODP17-15078,50.0,55.0
191,35499,BUDGET,ART0005242,ART0000748,ODP17-15078,100.0,147.0
192,35500,BUDGET,ART0005243,ART0000748,ODP17-15078,50.0,5.6
193,35501,BUDGET,ART0005677,ART0000748,ODP17-15078,50.0,12.6
194,38877,CONSUNTIVO,ART0001868,ART0000748,ODP18-02202,50.0,1205.91
195,38878,CONSUNTIVO,ART0001756,ART0000748,ODP18-02202,50.0,925.0
196,38879,CONSUNTIVO,ART0005432,ART0000748,ODP18-02202,50.0,190.05
197,38880,CONSUNTIVO,ART0005433,ART0000748,ODP18-02202,50.0,54.2
198,38881,CONSUNTIVO,ART0005242,ART0000748,ODP18-02202,100.0,147.0
199,38882,CONSUNTIVO,ART0005243,ART0000748,ODP18-02202,50.0,5.61
200,38883,CONSUNTIVO,ART0005677,ART0000748,ODP18-02202,50.0,12.6
201,41018,CONSUNTIVO,ART0001868,ART0000748,ODP18-03096,40.0,811.05
202,41019,CONSUNTIVO,ART0001756,ART0000748,ODP18-03096,40.0,1022.33
203,41020,CONSUNTIVO,ART0005432,ART0000748,ODP18-03096,40.0,148.61
204,41021,CONSUNTIVO,ART0005433,ART0000748,ODP18-03096,40.0,39.59
205,41022,CONSUNTIVO,ART0005242,ART0000748,ODP18-03096,80.0,113.56
206,41023,CONSUNTIVO,ART0005243,ART0000748,ODP18-03096,40.0,4.48
207,41024,CONSUNTIVO,ART0005677,ART0000748,ODP18-03096,40.0,10.08
208,42368,CONSUNTIVO,ART0001868,ART0000748,ODP18-05151,20.0,535.63
209,42369,CONSUNTIVO,ART0001756,ART0000748,ODP18-05151,20.0,493.33
210,42370,CONSUNTIVO,ART0005432,ART0000748,ODP18-05151,20.0,73.15
211,42371,CONSUNTIVO,ART0005433,ART0000748,ODP18-05151,20.0,20.9
212,42372,CONSUNTIVO,ART0005242,ART0000748,ODP18-05151,40.0,55.86
213,42373,CONSUNTIVO,ART0005243,ART0000748,ODP18-05151,20.0,2.24
214,42374,CONSUNTIVO,ART0005677,ART0000748,ODP18-05151,20.0,5.04
215,43917,CONSUNTIVO,ART0001868,ART0000748,ODP18-05148,30.0,615.54
216,43918,CONSUNTIVO,ART0001756,ART0000748,ODP18-05148,30.0,624.67
217,43919,CONSUNTIVO,ART0005432,ART0000748,ODP18-05148,30.0,109.73
218,43920,CONSUNTIVO,ART0005433,ART0000748,ODP18-05148,30.0,31.35
219,43921,CONSUNTIVO,ART0005242,ART0000748,ODP18-05148,60.0,83.79
220,43922,CONSUNTIVO,ART0005243,ART0000748,ODP18-05148,30.0,3.36
221,43923,CONSUNTIVO,ART0005677,ART0000748,ODP18-05148,30.0,7.56
222,44464,CONSUNTIVO,ART0001868,ART0000748,ODP18-05803,40.0,824.86
223,44465,CONSUNTIVO,ART0001756,ART0000748,ODP18-05803,40.0,795.0
224,44466,CONSUNTIVO,ART0005432,ART0000748,ODP18-05803,40.0,146.3
225,44467,CONSUNTIVO,ART0005433,ART0000748,ODP18-05803,40.0,41.8
226,44468,CONSUNTIVO,ART0005242,ART0000748,ODP18-05803,80.0,111.72
227,44469,CONSUNTIVO,ART0005243,ART0000748,ODP18-05803,40.0,4.48
228,44470,CONSUNTIVO,ART0005677,ART0000748,ODP18-05803,40.0,10.08
229,47090,CONSUNTIVO,ART0001868,ART0000748,ODP18-06125,20.0,412.43
230,47091,CONSUNTIVO,ART0001756,ART0000748,ODP18-06125,20.0,355.18
231,47092,CONSUNTIVO,ART0005432,ART0000748,ODP18-06125,20.0,73.15
232,47093,CONSUNTIVO,ART0005433,ART0000748,ODP18-06125,20.0,20.9
