,NrMovimento,budget/cons,NrArticolo,NrOrigine,Quantity,ImportoVenditaInValutaLocaleTOTALEVENDITA
1438,39730,Consuntivo,ART0002867,C00140,12,1800.0
1439,39732,Consuntivo,ART0002867,C00140,4,600.0
1440,39737,Consuntivo,ART0005136,C00004,4,64.0
1441,39832,Consuntivo,ART0000121,C00026,2,42.0
1442,39835,Consuntivo,ART0000308,C00026,20,800.0
1443,39838,Consuntivo,ART0000151,C00026,5,350.0
1444,39839,Consuntivo,ART0000456,C00026,10,160.0
1445,39841,Consuntivo,ART0000228,C00026,86,3010.0
1446,39964,Consuntivo,ART0000783,C00140,5,1453.6
1447,39965,Consuntivo,ART0000847,C00140,10,2700.0
1448,39966,Consuntivo,ART0000825,C00140,1,360.0
1449,39973,Consuntivo,ART0002141,C00140,1,98.0
1450,39974,Consuntivo,ART0002142,C00140,1,98.0
1451,39975,Consuntivo,ART0000782,C00140,2,590.0
1452,39985,Consuntivo,ART0005136,C00455,1,0.0
1453,39986,Consuntivo,ART0005136,C00455,1,0.0
1454,39987,Consuntivo,ART0005136,C00455,1,50.0
1455,40063,Consuntivo,ART0001427,C00140,4,8.8
1456,40065,Consuntivo,ART0002109,C00140,3,12.0
1457,40190,BUDGET,ART0004169,C00297,2,260.0
1458,40300,Consuntivo,ART0000690,C00004,1,75.0
1459,40302,Consuntivo,ART0004362,C00004,10,160.0
1460,40303,Consuntivo,ART0000630,C00004,21,630.0
1461,40304,Consuntivo,ART0000643,C00004,20,200.0
1462,40305,Consuntivo,ART0000690,C00004,1,75.0
1463,40321,Consuntivo,ART0000752,C00140,1,456.0
1464,40322,Consuntivo,ART0000765,C00140,1,385.0
1465,40323,Consuntivo,ART0000782,C00140,2,590.0
1466,40324,Consuntivo,ART0000849,C00140,2,735.0
1467,40327,Consuntivo,ART0002476,C00140,3,38.64
1468,40328,Consuntivo,ART0003269,C00140,8,331.2
1469,40331,Consuntivo,ART0001180,C00140,5,192.5
1470,40332,Consuntivo,ART0002740,C00140,18,450.0
1471,40335,Consuntivo,ART0002476,C00140,1,12.88
1472,40337,Consuntivo,ART0003101,C00140,5,110.0
1473,40339,Consuntivo,ART0002385,C00140,6,234.0
1474,40340,Consuntivo,ART0002142,C00140,1,98.0
1475,40344,Consuntivo,ART0002530,C00140,2,88.0
1476,40345,Consuntivo,ART0002411,C00140,4,260.0
1477,40347,Consuntivo,ART0002530,C00140,1,44.0
1478,40349,Consuntivo,ART0003099,C00140,2,64.4
1479,40351,Consuntivo,ART0001731,C00140,4,380.0
1480,40363,Consuntivo,ART0003844,C00140,1,32.0
1481,40369,Consuntivo,ART0001743,C00140,1,855.6
1482,40372,Consuntivo,ART0002551,C00140,1,410.0
1483,40373,Consuntivo,ART0002552,C00140,1,32.2
1484,40379,Consuntivo,ART0001497,C00140,1,22.0
1485,40380,Consuntivo,ART0001739,C00140,1,85.0
1486,40382,Consuntivo,ART0002271,C00140,1,160.0
1487,40383,Consuntivo,ART0002829,C00140,3,90.0
1488,40384,Consuntivo,ART0002918,C00140,1,125.0
1489,40385,Consuntivo,ART0003309,C00140,3,30.0
1490,40386,Consuntivo,ART0003310,C00140,5,40.0
1491,40391,Consuntivo,ART0001520,C00140,1,25.0
1492,40399,Consuntivo,ART0001520,C00140,4,100.0
1493,40402,Consuntivo,ART0001520,C00140,4,100.0
1494,40409,Consuntivo,ART0003164,C00140,1,130.0
1495,40417,Consuntivo,ART0001441,C00140,1,25.76
1496,40434,Consuntivo,ART0001497,C00140,1,22.0
1497,40435,Consuntivo,ART0001739,C00140,1,85.0
1498,40437,Consuntivo,ART0002271,C00140,1,160.0
1499,40438,Consuntivo,ART0002829,C00140,3,90.0
1500,40439,Consuntivo,ART0002918,C00140,1,125.0
1501,40440,Consuntivo,ART0003309,C00140,3,30.0
1502,40441,Consuntivo,ART0003310,C00140,5,40.0
1503,40536,Consuntivo,ART0005136,C00489,1,1648.5
1504,40607,Consuntivo,ART0002476,C00140,5,64.4
1505,40612,Consuntivo,ART0002793,C00140,20,760.0
1506,40614,Consuntivo,ART0001610,C00140,4,51.52
1507,40617,Consuntivo,ART0001264,C00140,1,12.0
1508,40624,Consuntivo,ART0001653,C00140,3,54.0
1509,40626,Consuntivo,ART0002919,C00140,1,125.0
1510,40628,Consuntivo,ART0002793,C00140,20,760.0
1511,40629,Consuntivo,ART0001566,C00140,15,67.5
1512,40631,Consuntivo,ART0001252,C00140,1,235.0
1513,40632,Consuntivo,ART0001653,C00140,3,54.0
1514,40634,Consuntivo,ART0002919,C00140,1,125.0
1515,40671,Consuntivo,ART0001590,C00140,3,14.1
1516,40672,Consuntivo,ART0001590,C00140,6,28.2
1517,40673,Consuntivo,ART0002141,C00140,1,98.0
1518,40745,Consuntivo,ART0000226,C00026,4,960.0
1519,40747,Consuntivo,ART0000129,C00026,3,435.0
1520,40748,Consuntivo,ART0000313,C00026,5,140.0
1521,40749,Consuntivo,ART0000227,C00026,36,2160.0
1522,40751,Consuntivo,ART0000312,C00026,20,320.0
1523,40752,Consuntivo,ART0003824,C00026,10,110.0
1524,40799,Consuntivo,ART0002586,C00140,1,170.0
1525,40828,Consuntivo,ART0002978,C00140,1,185.0
1526,40857,Consuntivo,ART0000790,C00140,1,630.0
1527,40867,Consuntivo,ART0005136,C00004,2,100.0
1528,40868,Consuntivo,ART0004410,C00004,2,122.0
1529,40877,Consuntivo,ART0005136,C00344,2,60.0
1530,40949,Consuntivo,ART0004675,C00473,6,78.0
1531,40985,Consuntivo,ART0003580,C00094,4,52.0
1532,40988,Consuntivo,ART0003612,C00094,8,200.0
1533,40989,Consuntivo,ART0003642,C00094,2,46.0
1534,40991,Consuntivo,ART0003780,C00094,24,384.0
1535,40997,Consuntivo,ART0000850,C00140,5,1575.0
1536,40998,Consuntivo,ART0000783,C00140,2,581.44
1537,40999,Consuntivo,ART0000748,C00140,40,3480.0
1538,41075,Consuntivo,ART0001095,C00471,1,70.0
1539,41149,Consuntivo,ART0000116,C00026,1,234.0
1540,41165,Consuntivo,ART0005136,C00004,1,400.0
1541,41197,Consuntivo,ART0003132,C00140,2,38.0
1542,41236,Consuntivo,ART0004946,C00456,14,728.0
1543,41256,Consuntivo,ART0001733,C00140,5,350.0
1544,41257,Consuntivo,ART0002366,C00140,4,294.4
1545,41261,Consuntivo,ART0001261,C00140,1,12.0
1546,41262,Consuntivo,ART0001263,C00140,1,13.0
1547,41265,Consuntivo,ART0002366,C00140,4,294.4
1548,41418,Consuntivo,ART0005030,C00026,1,760.0
1549,41419,Consuntivo,ART0000128,C00026,5,140.0
1550,41420,Consuntivo,ART0000324,C00026,3,84.0
1551,41476,Consuntivo,ART0000851,C00140,15,2691.0
1552,41477,Consuntivo,ART0002224,C00140,4,312.0
1553,41478,Consuntivo,ART0002598,C00140,1,90.0
1554,41482,Consuntivo,ART0001252,C00140,1,235.0
1555,41506,Consuntivo,ART0002451,C00140,1,271.4
1556,41524,Consuntivo,ART0002360,C00140,2,490.0
1557,41525,Consuntivo,ART0002938,C00140,1,195.0
1558,41534,Consuntivo,ART0004099,C00297,1,0.0
1559,41535,Consuntivo,ART0004099,C00297,1,0.0
1560,41536,Consuntivo,ART0004099,C00297,1,905.0
1561,41542,Consuntivo,ART0000325,C00026,3,180.0
1562,41559,Consuntivo,ART0005136,C00017,2,50.0
1563,41582,Consuntivo,ART0005136,C00001,1,175.0
1564,41768,Consuntivo,ART0005136,C00004,18,99.0
1565,41769,Consuntivo,ART0005136,C00004,4,22.0
1566,41771,Consuntivo,ART0005136,C00004,1,25.0
1567,41772,Consuntivo,ART0004385,C00004,20,180.0
1568,41793,Consuntivo,ART0004737,C00473,10,180.0
1569,41821,Consuntivo,ART0000812,C00140,1,760.0
1570,41822,Consuntivo,ART0000782,C00140,1,295.0
1571,41824,Consuntivo,ART0000805,C00140,1,490.0
1572,41827,Consuntivo,ART0001520,C00140,7,175.0
1573,41829,Consuntivo,ART0002886,C00140,1,135.0
1574,41841,Consuntivo,ART0002152,C00140,4,92.0
1575,41848,Consuntivo,ART0001261,C00140,2,24.0
1576,41849,Consuntivo,ART0001263,C00140,2,26.0
1577,41851,Consuntivo,ART0001587,C00140,6,63.48
1578,41852,Consuntivo,ART0002210,C00140,2,49.68
1579,41855,Consuntivo,ART0001628,C00140,6,78.0
1580,41880,Consuntivo,ART0000752,C00140,2,912.0
1581,41881,Consuntivo,ART0000779,C00140,2,984.0
1582,41883,Consuntivo,ART0003105,C00140,1,56.0
1583,41888,Consuntivo,ART0002706,C00140,2,640.0
1584,41889,Consuntivo,ART0002707,C00140,2,460.0
1585,41899,Consuntivo,ART0005136,C00094,2,40.0
1586,42008,Consuntivo,ART0004889,C00471,6,900.0
1587,42009,Consuntivo,ART0004889,C00471,4,600.0
1588,42010,Consuntivo,ART0004889,C00471,4,600.0
1589,42011,Consuntivo,ART0004889,C00471,4,600.0
1590,42012,Consuntivo,ART0004889,C00471,12,1800.0
1591,42013,Consuntivo,ART0004889,C00471,6,900.0
1592,42014,Consuntivo,ART0004889,C00471,6,900.0
1593,42015,Consuntivo,ART0004889,C00471,6,900.0
1594,42016,Consuntivo,ART0004889,C00471,3,450.0
1595,42017,Consuntivo,ART0004889,C00471,2,300.0
1596,42018,Consuntivo,ART0004889,C00471,2,300.0
1597,42019,Consuntivo,ART0004889,C00471,2,300.0
1598,42220,Consuntivo,ART0005136,C00140,1,85.0
1599,42221,Consuntivo,ART0000748,C00140,20,1740.0
