,NrArticolo,ImpiegoStandard,ImpiegoEffettivo,scostamento
415,ART0003580,82.55,115.8701818181818,-33.32018181818181
416,ART0003609,890.0799999999999,407.95333333333326,482.12666666666667
417,ART0003610,776.07,167.72516364619963,608.3448363538005
418,ART0003612,59.23,475.9553571428571,-416.7253571428571
419,ART0003613,32.38,356.5748780487805,-324.1948780487805
420,ART0003642,14.78,29.03534199134199,-14.255341991341991
421,ART0003704,86.01,27.506444805194807,58.5035551948052
422,ART0003780,47.78,29.578095238095237,18.201904761904764
423,ART0003782,10.02,10.02,0.0
424,ART0003785,146.61,131.949,14.661000000000001
425,ART0003824,16.27,20.568872433524067,-4.298872433524068
426,ART0003844,5.65,6.558035714285714,-0.9080357142857141
427,ART0003935,187.81,281.71500000000003,-93.90500000000003
428,ART0003940,954.8800000000001,977.751377245509,-22.87137724550894
429,ART0003982,1.0,1.73,-0.73
430,ART0003984,0.58,0.07565217391304346,0.5043478260869565
431,ART0003989,1.43,2.32375,-0.89375
432,ART0004014,399.41,392.148,7.2620000000000005
433,ART0004015,52.29,85.7556,-33.4656
434,ART0004084,702.0499999999998,468.03333333333325,234.0166666666666
435,ART0004099,976.66,960.6491803278689,16.010819672131106
436,ART0004104,1651.2300000000005,1793.577413793104,-142.34741379310344
437,ART0004146,1790.92,525.1964809384165,1265.7235190615836
438,ART0004149,5.38,0.10918024032042722,5.270819759679573
439,ART0004152,14.2,46.666666666666664,-32.46666666666667
440,ART0004169,96.17,263.2920888888889,-167.12208888888887
441,ART0004175,103.52000000000001,121.26628571428571,-17.746285714285705
442,ART0004202,2.7,4.968000000000001,-2.2680000000000007
443,ART0004357,138.01,7.03851,130.97149
444,ART0004362,3.9,15.934285714285712,-12.034285714285712
445,ART0004363,826.57,28.50241379310345,798.0675862068966
446,ART0004373,1428.0,2982.0,-1554.0
447,ART0004374,1039.38,2170.4700000000003,-1131.0900000000001
448,ART0004375,17.84,21.804444444444442,-3.9644444444444424
449,ART0004384,330.0,348.0,-18.0
450,ART0004385,221.6,275.64878048780486,-54.04878048780486
451,ART0004386,26.98,42.65171604938271,-15.671716049382713
452,ART0004392,294.0,343.0,-49.0
453,ART0004397,2471.47,5261.05,-2789.5800000000004
454,ART0004403,72.26,72.03766153846153,0.22233846153847026
455,ART0004410,36.54,75.32861538461538,-38.788615384615376
456,ART0004420,18.29,11.139022556390978,7.150977443609021
457,ART0004440,261.06,223.76571428571427,37.294285714285735
458,ART0004656,10.37,8.497638888888888,1.8723611111111111
459,ART0004659,33.87,11.29,22.58
460,ART0004660,44.35,44.35,0.0
461,ART0004671,24.83,24.83,0.0
462,ART0004675,3.22,17.602666666666668,-14.382666666666667
463,ART0004689,19.94,63.36794482758621,-43.4279448275862
464,ART0004697,6.13,23.687245283018868,-17.55724528301887
