,CodiceMP,sumCostoMPBudget,sumCostoMPConsuntivo,scostamento
231,ART0004159,3.0,7.000000000000001,-4.000000000000001
232,ART0005437,12.32,16.8,-4.48
233,ART0005166,4.21,9.04,-4.829999999999999
234,ART0005153,41.14,46.91999999999998,-5.77999999999998
235,ART0005283,9.360000000000001,15.370000000000003,-6.010000000000002
236,ART0005772,0.32,6.43,-6.109999999999999
237,ART0005296,1.28,7.64,-6.359999999999999
238,ART0001429,158.38,164.76,-6.3799999999999955
239,ART0005461,1.88,8.75,-6.87
240,ART0005399,12.45,19.63,-7.18
241,ART0005281,14.9,22.36,-7.459999999999999
242,ART0005418,5.24,13.1,-7.859999999999999
243,ART0005739,7.32,15.31,-7.99
244,ART0005351,8.14,16.28,-8.14
245,ART0005280,17.5,26.25,-8.75
246,ART0005316,34.72,43.489999999999995,-8.769999999999996
247,ART0005593,12.030000000000001,22.310000000000002,-10.280000000000001
248,ART0005695,4.79,15.41,-10.620000000000001
249,ART0005666,110.0,121.0,-11.0
250,ART0005669,3.87,14.910000000000002,-11.040000000000003
251,ART0005754,44.8,56.0,-11.200000000000003
252,ART0004174,15.72,27.27,-11.549999999999999
253,ART0005816,10.53,22.32,-11.790000000000001
254,ART0001425,20.58,32.92,-12.340000000000003
255,ART0001404,37.5,50.010000000000005,-12.510000000000005
256,ART0005314,2.16,14.780000000000001,-12.620000000000001
257,ART0005793,3.9,17.28,-13.38
258,ART0005504,42.27,55.79,-13.519999999999996
259,ART0005286,283.62,297.5,-13.879999999999995
260,ART0005454,24.569999999999993,39.28,-14.710000000000008
261,ART0005545,72.0,87.75,-15.75
262,ART0005219,3.91,19.7,-15.79
263,ART0005459,109.2,125.0,-15.799999999999997
264,ART0005921,76.38,92.78,-16.400000000000006
265,ART0005257,76.05,92.94999999999999,-16.89999999999999
266,ART0005139,18.000000000000004,35.35000000000001,-17.350000000000005
267,ART0005792,16.51,33.88,-17.37
268,ART0005188,33.81,51.66,-17.849999999999994
269,ART0005247,2.5500000000000003,21.39,-18.84
270,ART0005817,4.97,24.46,-19.490000000000002
271,ART0005273,954.8800000000001,975.18,-20.29999999999984
272,ART0005722,31.520000000000003,52.17,-20.65
273,ART0001073,2.59,25.009999999999998,-22.419999999999998
274,ART0005916,10.0,33.0,-23.0
275,ART0004176,0.0,23.35,-23.35
276,ART0004150,13.91,37.41,-23.499999999999996
277,ART0005258,28.0,51.67999999999999,-23.679999999999993
278,ART0005789,56.0,80.0,-24.0
279,ART0005762,17.84,42.81,-24.970000000000002
280,ART0001385,12.5,38.31,-25.810000000000002
